name,slug,category,brand,description,listPrice,price,countInStock,images,tags,isPublished,sku,specifications,dimensions,weight,material,finish,energyRating,energyConsumption,capacity,warrantyDetails,installationRequired,modelNumber
50 inch 4K UHD SMART TV-Samsung-UN50DU7200F-W/200VA,Samsung-un50du7200f-50-4k-uhd-smart-tv,electronics-entertainment,Samsung,"50-inch 4K Smart TV with Tizen OS, featuring Crystal Processor 4K, HDR10+, and multiple connectivity options.",2923.2,2923.2,1,(to be provided),tv; smart tv; 4k; 50 inch; Samsung,TRUE,06-SAM-UN50DU7200F,"Screen Size: 50 inches; Resolution: 4K (3840x2160); Display Type: LED; Smart Platform: Tizen OS; Processor: Crystal Processor 4K; HDR: HDR10+; Connectivity: Wi-Fi, 3 HDMI, 2 USB; Audio: 20W, 2.0 ch",44.1 inch W x 25.4 inch H x 2.4 inch D (without stand),25.4 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN50DU7200F
43 inch 4K SMART TV-Samsung-LH43BETHLGFXZP-W/200VA,Samsung-lh43bethlgfxz-43-4k-smart-tv,electronics-entertainment,Samsung,"43-inch 4K Smart TV with Tizen OS, designed for business use, featuring multiple connectivity options.",2662.2,2662.2,1,(to be provided),tv; smart tv; 4k; 43 inch; Samsung; business,TRUE,06-SAM-LH43BETHLGFXZ,"Screen Size: 43 inches; Resolution: 4K (3840x2160); Display Type: LED; Smart Platform: Tizen OS; Connectivity: Wi-Fi, 3 HDMI, 2 USB; Audio: 20W, 2.0 ch",38.1 inch W x 22.4 inch H x 2.4 inch D (without stand),19.8 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,LH43BETHLGFXZ
32 inch SMART LED TV-Samsung-BE32T-B,Samsung-be32t-b-32-smart-led-tv,electronics-entertainment,Samsung,"32-inch HD Smart TV with Tizen OS, featuring 720p resolution and basic connectivity.",1328.2,1328.2,1,(to be provided),tv; smart tv; 32 inch; Samsung,TRUE,06-SAM-BE32T-B,"Screen Size: 32 inches; Resolution: 720p (1366x768); Display Type: LED; Smart Platform: Tizen OS; Connectivity: Wi-Fi, 2 HDMI, 1 USB; Audio: 2x5W speakers",28.9 inch W x 17.1 inch H x 3.1 inch D (without stand),8.8 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,BE32T-B
32 inch SMART TV-Samsung-UN32N5300AF-W/100VA T/FORMER,Samsung-un32n5300af-32-smart-tv,electronics-entertainment,Samsung,"32-inch Full HD Smart TV with Tizen OS, featuring 1080p resolution and multiple connectivity options.",1734.2,1734.2,1,(to be provided),tv; smart tv; 32 inch; Samsung,TRUE,06-SAM-UN32N5300AF,"Screen Size: 32 inches; Resolution: 1080p (1920x1080); Display Type: LED; Smart Platform: Tizen OS; Connectivity: Wi-Fi, 2 HDMI, 1 USB; Audio: 2x5W speakers",28.9 inch W x 17.1 inch H x 3.1 inch D (without stand),8.8 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN32N5300AF
50 inch 4K/SMART TV-Samsung-UN50TU7000FXZA-W/200VA,Samsung-un50tu7000f-50-4k-smart-tv,electronics-entertainment,Samsung,"50-inch 4K Smart TV with Tizen OS, featuring Crystal Processor 4K, HDR, and multiple connectivity options.",3474.2,3474.2,1,(to be provided),tv; smart tv; 4k; 50 inch; Samsung,TRUE,06-SAM-UN50TU7000F,"Screen Size: 50 inches; Resolution: 4K (3840x2160); Display Type: LED; Smart Platform: Tizen OS; Processor: Crystal Processor 4K; HDR: HDR; Connectivity: Wi-Fi, 2 HDMI, 1 USB; Audio: 20W, 2.0 ch",44.1 inch W x 25.4 inch H x 2.4 inch D (without stand),25.4 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN50TU7000F
58 inch 4K SMART TV-Samsung-UN58TU7000PXPA-300VA,Samsung-un58tu7000p-58-4k-smart-tv,electronics-entertainment,Samsung,"58-inch 4K Smart TV with Tizen OS, featuring Crystal Processor 4K, HDR, and multiple connectivity options.",3961.4,3961.4,1,(to be provided),tv; smart tv; 4k; 58 inch; Samsung,TRUE,06-SAM-UN58TU7000P,"Screen Size: 58 inches; Resolution: 4K (3840x2160); Display Type: LED; Smart Platform: Tizen OS; Processor: Crystal Processor 4K; HDR: HDR; Connectivity: Wi-Fi, 2 HDMI, 1 USB; Audio: 20W, 2.0 ch",51.1 inch W x 29.5 inch H x 2.4 inch D (without stand),35.3 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN58TU7000P
75 inch 4K SMART TV-Samsung-UN75DU7200B,Samsung-un75du7200b-75-4k-smart-tv,electronics-entertainment,Samsung,"75-inch 4K Smart TV with Tizen OS, featuring Crystal Processor 4K, HDR10+, and multiple connectivity options.",5214.2,5214.2,1,(to be provided),tv; smart tv; 4k; 75 inch; Samsung,TRUE,06-SAM-UN75DU7200B,"Screen Size: 75 inches; Resolution: 4K (3840x2160); Display Type: LED; Smart Platform: Tizen OS; Processor: Crystal Processor 4K; HDR: HDR10+; Connectivity: Wi-Fi, 3 HDMI, 2 USB; Audio: 20W, 2.0 ch",66.1 inch W x 37.8 inch H x 2.4 inch D (without stand),57.3 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN75DU7200B
60 inch ULTRA HD SMART LED TV-Samsung-UN60JS7000F-W/5,Samsung-un60js7000f-60-ultra-hd-smart-led-tv,electronics-entertainment,Samsung,"60-inch Ultra HD Smart LED TV with Tizen OS, featuring SUHD Remastering Engine and multiple connectivity options.",9970.2,9970.2,1,(to be provided),tv; smart tv; 4k; 60 inch; Samsung,TRUE,06-SAM-UN60JS7000F,"Screen Size: 60 inches; Resolution: 4K (3840x2160); Display Type: LED; Smart Platform: Tizen OS; Processor: SUHD Remastering Engine; HDR: HDR; Connectivity: Wi-Fi, 4 HDMI, 3 USB; Audio: 40W, 2.2 ch",53.4 inch W x 30.9 inch H x 2.4 inch D (without stand),41.9 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN60JS7000F
65 inch UHD 4K SMART TV-Samsung-UN65CU7000F-W/300VA,Samsung-un65cu7000f-65-uhd-4k-smart-tv,electronics-entertainment,Samsung,"65-inch UHD 4K Smart TV with Tizen OS, featuring Crystal Processor 4K, HDR, and multiple connectivity options.",3822.2,3822.2,1,(to be provided),tv; smart tv; 4k; 65 inch; Samsung,TRUE,06-SAM-UN65CU7000F,"Screen Size: 65 inches; Resolution: 4K (3840x2160); Display Type: LED; Smart Platform: Tizen OS; Processor: Crystal Processor 4K; HDR: HDR; Connectivity: Wi-Fi, 3 HDMI, 2 USB; Audio: 20W, 2.0 ch",57.1 inch W x 32.7 inch H x 2.4 inch D (without stand),44.1 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN65CU7000F
50 inch 4K SMART TV-Samsung-UN50TU690TF-W/200VAT/FORM,Samsung-un50tu690tf-50-4k-smart-tv,electronics-entertainment,Samsung,"50-inch 4K Smart TV with Tizen OS, featuring Crystal Processor 4K, HDR, and multiple connectivity options.",2647.12,2647.12,1,(to be provided),tv; smart tv; 4k; 50 inch; Samsung,TRUE,06-SAM-UN50TU690TF,"Screen Size: 50 inches; Resolution: 4K (3840x2160); Display Type: LED; Smart Platform: Tizen OS; Processor: Crystal Processor 4K; HDR: HDR; Connectivity: Wi-Fi, 2 HDMI, 1 USB; Audio: 20W, 2.0 ch",44.1 inch W x 25.4 inch H x 2.4 inch D (without stand),25.4 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN50TU690TF
75 inch SMART TV-Samsung-UN75TU8000FXZA-W/500VA T/FOR,Samsung-un75tu8000fxz-75-smart-tv,electronics-entertainment,Samsung,"75-inch 4K Smart TV with Tizen OS, featuring Crystal Processor 4K, HDR, and multiple connectivity options.",6838.2,6838.2,1,(to be provided),tv; smart tv; 4k; 75 inch; Samsung,TRUE,06-SAM-UN75TU8000FXZ,"Screen Size: 75 inches; Resolution: 4K (3840x2160); Display Type: LED; Smart Platform: Tizen OS; Processor: Crystal Processor 4K; HDR: HDR; Connectivity: Wi-Fi, 3 HDMI, 2 USB; Audio: 20W, 2.0 ch",66.1 inch W x 37.8 inch H x 2.4 inch D (without stand),57.3 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN75TU8000FXZ
